"YEAR","CASEID","SERIAL","STATEFIP","METRO","METAREA","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HH_NUMKIDS","AGEYCHILD","PERNUM","LINENO","DAY","DATE","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","CITIZEN","BPL","EDUC","EDUCYRS","EMPSTAT","MULTJOBS","CLWKR","OCC2","OCC","IND2","IND","FULLPART","UHRSWORKT","EARNWEEK","PAIDHOUR","HOURWAGE","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPNOT","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","KIDUND18","HH_NUMOWNKIDS","KIDUND13","KIDUND1","KID1TO2","KID3TO5","KID6TO12","KID13TO17","SCC_ALL","SCC_HH","ECYEST","ECPRIOR","ECFREQ","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_GOVSERV","ACT_HHACT","ACT_HHSERV","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","adultcare","childcare","primary_childcare","routine_housework"
2024,20240101240295,11,6,1,4481,15,3,2,0,0,999,1,1,2,20240129,38701702.34665300,24,1,100,210,999,6,1,9900,40,217,1,0,4,121,1400,132,3291,1,40,1250.0,2,999.99,2,24,2,100,100,40,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,50,0,90,0,525,0,0,0,0,120,30,95,0,530,0,0,0,60
2024,20240101240500,12,27,3,0,9,3,2,1,1,2,1,1,5,20240125,11033368.14915300,76,2,100,100,999,6,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,120,120,1,1,1,360,0,0,35,0,429,0,421,0,0,0,0,195,0,0,0,0,0,360,240,429
2024,20240101240512,13,33,2,1122,15,2,1,0,0,999,1,1,6,20240126,25739908.47362500,51,2,100,100,999,1,1,9900,20,112,1,0,1,150,5550,170,6370,1,48,1307.69,2,999.99,1,55,1,100,100,40,1,1,995,1007.8,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,15,0,120,0,680,0,0,120,0,395,0,50,0,0,0,0,0,75
2024,20240101240519,14,40,1,0,11,2,1,0,0,999,1,1,1,20240128,2900091.365388000,78,1,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,71,2,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,80,0,40,0,630,0,0,0,30,610,20,30,0,0,0,0,0,40
2024,20240101240533,15,37,3,0,7,3,2,1,2,10,1,1,1,20240128,4509486.521252000,38,2,100,100,999,4,3,21070,30,214,1,0,4,200,9620,160,4971,1,40,680.0,1,17.0,3,999,99,9999,9999,999,99,99,999,99999.99,1,2,1,0,0,0,1,1,285,285,99,0,99,180,0,0,0,0,105,0,420,0,0,0,0,675,0,60,0,0,0,180,180,105
2024,20240101240541,16,36,1,5601,11,3,2,0,0,999,1,1,3,20240123,60985806.65221600,25,1,110,100,999,6,5,26030,40,217,1,0,7,150,5510,170,6380,1,45,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,95,0,0,0,660,0,245,0,0,0,0,50,0,390,0,0,0,0
2024,20240101240543,17,9,2,3284,8,1,1,0,0,999,1,1,3,20240130,5948065.421242000,71,2,100,100,999,4,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,30,0,15,0,1125,0,0,0,0,270,0,0,0,0,0,0,0,0
2024,20240101240549,18,42,2,0,16,4,1,1,2,4,1,1,6,20240126,16658190.66185500,42,2,100,100,999,1,1,9900,42,320,1,0,5,127,3090,240,7870,1,50,2884.61,2,999.99,1,41,1,100,100,41,1,1,40,1961.53,1,2,1,0,0,1,0,0,240,240,99,0,99,90,0,0,100,0,60,0,515,0,0,0,0,120,0,135,0,420,0,90,90,55
2024,20240101240566,19,39,2,0,15,1,2,0,0,999,1,1,3,20240130,12986892.46823800,42,2,100,100,999,4,1,9900,41,316,1,0,1,120,1220,300,9590,1,40,2153.6,1,53.84,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,1,6,0,0,0,105,0,90,0,605,0,0,0,0,30,20,70,0,520,0,0,0,90
2024,20240101240571,20,39,4,0,11,2,2,0,0,999,1,1,3,20240130,23188148.38238900,26,1,131,100,10,6,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,26,2,131,100,30,0,6,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,35,0,0,0,875,0,0,0,0,510,0,20,0,0,0,0,0,0
2024,20240101240573,21,39,2,0,13,2,1,0,0,999,1,1,1,20240121,5012784.717678000,60,1,100,100,999,1,1,9900,30,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,60,2,100,100,21,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,75,0,60,0,750,0,0,70,0,435,0,50,0,0,0,0,0,45
2024,20240101240575,22,18,3,0,6,1,2,0,0,999,1,1,1,20240121,2495349.546063000,71,1,100,100,999,4,1,9900,31,215,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,45,0,236,0,600,0,0,0,0,509,0,0,0,0,0,0,0,225
2024,20240101240577,23,48,2,1921,12,4,2,1,2,1,1,1,1,20240128,8029926.487504000,31,2,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,31,1,110,100,30,1,1,40,763.2,1,2,1,0,1,1,0,0,525,525,99,0,99,190,0,0,100,0,55,0,660,0,0,0,120,195,0,120,0,0,0,190,190,55
2024,20240101240622,24,6,1,0,15,2,1,0,0,999,1,1,3,20240130,8240992.013634000,85,1,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,79,2,100,244,31,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,60,0,480,0,690,0,0,0,0,210,0,0,0,0,0,0,0,60
2024,20240101240656,25,22,4,0,10,2,1,0,0,999,1,1,1,20240128,2533597.856628000,71,2,100,100,999,1,1,9900,41,316,1,0,6,124,2100,220,7270,1,9995,99999.99,99,999.99,1,73,1,100,100,41,1,1,995,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,30,0,55,0,600,0,0,0,0,0,0,0,0,755,0,0,0,10
2024,20240101240658,26,51,2,0,12,2,1,0,0,999,1,1,3,20240130,9638699.820922000,77,1,100,100,999,1,1,9900,41,316,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,77,2,100,100,41,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,80,0,160,0,480,0,0,0,0,660,0,0,0,0,0,0,0,100
2024,20240101240660,27,36,2,5601,16,2,1,0,0,999,1,1,1,20240121,3649480.973358000,85,1,100,100,999,1,1,9900,41,316,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,78,2,100,100,41,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,180,0,0,0,510,0,60,0,0,690,0,0,0,0,0,0,0,0
2024,20240101240678,28,12,2,5000,15,3,1,0,0,999,1,1,1,20240121,11061830.78952100,25,1,100,230,999,6,1,9900,30,214,1,0,4,200,9620,210,7071,2,9995,300.0,1,25.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,130,50,0,0,0,825,0,0,0,0,400,0,35,0,0,0,0,0,0
2024,20240101240724,29,12,2,5000,16,1,1,0,0,999,1,1,7,20240127,6002342.514948000,47,1,100,100,999,6,1,9900,43,321,1,0,3,125,2320,240,7860,1,40,1211.53,2,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,25,0,30,0,665,0,0,0,0,360,120,0,0,240,0,0,0,25
2024,20240101240738,30,41,2,6400,12,2,1,0,0,999,1,1,5,20240125,5924578.272974000,80,1,100,100,999,1,1,9900,30,216,1,0,6,160,6050,100,290,1,9995,99999.99,99,999.99,1,80,2,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,60,0,35,0,630,0,0,0,0,355,0,0,0,315,0,0,0,5
2024,20240101240750,31,29,3,0,14,2,1,0,0,999,1,1,3,20240123,14452829.17741900,50,2,100,100,999,1,1,9900,40,217,1,1,2,120,1065,240,7860,1,48,961.53,2,999.99,1,51,1,100,100,41,1,1,45,1000.0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,30,0,57,0,535,0,0,0,0,258,0,80,0,480,0,0,0,21
2024,20240101240766,32,39,2,0,1,1,1,0,0,999,1,1,7,20240127,2844199.077268000,71,1,100,100,999,4,1,9900,30,213,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,240,0,30,0,720,0,0,0,0,450,0,0,0,0,0,0,0,30
2024,20240101240811,33,54,4,0,11,2,1,0,0,999,1,1,2,20240122,9780509.516445000,48,2,100,100,999,6,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,96,99,0,0,0,120,0,410,0,410,0,0,0,0,500,0,0,0,0,0,0,0,340
2024,20240101240817,34,19,3,0,13,2,1,0,0,999,1,1,7,20240127,3659905.478888000,80,2,100,100,999,1,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,80,1,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,255,0,35,0,150,0,485,0,0,0,0,425,0,90,0,0,0,0,0,150
2024,20240101240839,35,12,2,0,14,1,1,0,0,999,1,1,2,20240122,7815817.729795000,80,1,100,100,999,3,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,125,0,120,0,512,0,0,0,0,678,0,0,5,0,0,0,0,90
2024,20240101240851,36,21,1,0,15,1,1,0,0,999,1,1,7,20240127,2435734.440609000,73,2,110,100,999,4,1,9900,42,320,1,0,2,125,2350,240,7860,2,11,253.0,1,23.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,5,215,30,0,303,0,550,20,5,20,25,130,0,77,0,60,5,0,0,287
2024,20240101240865,37,51,1,8841,14,1,2,0,0,999,1,1,1,20240121,5979698.358806000,61,1,110,100,999,4,1,9900,21,112,1,0,1,150,5860,300,9590,1,40,1942.3,2,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,15,0,15,0,750,0,0,0,0,120,0,60,0,480,0,0,0,15
2024,20240101240875,38,28,1,0,16,2,1,1,1,17,1,1,7,20240127,3932298.275916000,45,2,100,100,999,3,1,9900,40,217,1,0,7,134,4330,291,8980,1,35,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,1,1,0,0,0,0,0,1,0,0,99,0,99,15,0,0,105,0,0,0,795,0,140,55,0,175,0,125,0,0,0,15,15,0
2024,20240101240876,39,55,3,0,11,2,1,0,0,999,1,1,1,20240128,5981306.355718000,74,2,100,100,999,1,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,74,1,100,100,31,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,45,0,90,0,480,0,0,10,75,645,45,50,0,0,0,0,0,90
2024,20240101240880,40,39,2,1681,3,2,1,0,0,999,1,1,4,20240131,8878597.706860000,78,1,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,74,2,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,75,0,85,0,140,0,560,0,0,0,0,385,40,30,0,0,0,0,0,125
2024,20240101240896,41,51,2,0,15,3,1,1,1,3,1,1,1,20240128,5181424.091062000,37,1,100,100,999,1,1,9900,40,217,1,0,4,140,4710,150,4470,1,45,1653.84,2,999.99,1,34,2,100,100,21,1,1,45,1516.2,1,1,1,0,0,1,0,0,700,700,99,0,99,0,0,0,30,0,155,0,695,0,0,20,0,534,0,6,0,0,0,0,0,95
2024,20240101240904,42,6,1,0,15,1,1,0,0,999,1,1,7,20240127,3917355.603881000,63,2,100,100,999,4,4,41400,40,217,1,0,4,122,1760,251,8180,1,40,1923.07,1,53.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,150,0,150,0,690,0,0,120,0,200,0,100,0,0,0,0,0,150
2024,20240101240905,43,12,4,0,14,2,1,1,1,7,1,1,7,20240127,3760357.951831000,30,1,100,100,999,6,1,9900,21,112,1,0,4,170,6200,120,770,1,40,1125.0,1,25.0,3,999,99,9999,9999,999,99,99,999,99999.99,1,1,1,0,0,0,1,0,660,660,99,0,99,0,0,0,20,0,370,0,540,0,0,210,0,210,0,90,0,0,0,0,0,370
2024,20240101240963,44,19,4,0,16,4,1,1,2,10,1,1,1,20240128,3381434.094388000,44,1,100,100,999,1,1,9900,40,217,1,0,4,110,52,132,3291,1,50,2307.69,2,999.99,1,43,2,100,100,32,1,1,45,1250.0,1,2,1,0,0,0,1,1,60,60,99,0,99,120,0,0,60,0,240,0,330,0,0,10,0,430,90,40,0,90,0,120,120,240
2024,20240101240987,45,12,2,5000,9,1,2,0,0,999,1,1,2,20240122,7665864.781194000,73,1,110,100,999,6,4,60023,41,316,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,15,0,300,0,480,0,0,55,0,495,0,35,0,60,0,0,0,300
2024,20240101241018,46,1,2,0,15,3,1,1,1,1,1,1,4,20240124,12274919.55751500,27,2,202,100,999,1,1,9900,30,215,1,0,4,120,1021,135,3580,1,40,1403.84,2,999.99,1,28,1,131,100,40,1,1,40,1675.48,1,1,1,0,1,0,0,0,60,60,99,0,99,190,0,0,40,0,30,0,555,0,0,0,0,95,0,50,0,480,0,190,80,30
2024,20240101241026,47,15,4,0,13,2,1,0,0,999,1,1,1,20240128,2247495.055132000,77,1,100,100,999,1,1,9900,32,214,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,76,2,131,100,32,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,90,0,0,0,870,0,0,0,0,480,0,0,0,0,0,0,0,0
2024,20240101241041,48,6,2,7360,16,2,1,0,0,999,1,1,1,20240121,9590856.938467000,52,2,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,55,1,100,100,40,1,1,40,2884.61,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,100,0,70,0,710,0,0,10,0,220,65,265,0,0,0,0,0,70
2024,20240101241067,49,1,1,0,15,2,2,0,0,999,1,1,1,20240128,6936029.082296000,26,2,100,100,999,1,1,9900,40,217,1,1,3,125,2310,240,7860,1,50,961.53,2,999.99,1,24,1,100,100,40,1,1,40,1500.0,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,150,0,135,0,650,0,0,0,0,185,0,20,0,300,0,0,0,135
2024,20240101241083,50,34,3,6161,14,2,1,0,0,999,1,1,2,20240129,13307413.28262500,66,2,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,68,1,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,415,0,1,1,1,0,90,0,125,0,210,0,540,60,0,0,0,270,0,100,0,0,0,0,0,210
2024,20240101241101,51,29,1,0,15,3,1,0,0,999,1,1,6,20240126,18066302.12668400,73,1,100,100,999,4,1,9900,40,217,1,0,4,133,4251,210,7071,1,40,660.0,1,16.5,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,120,0,30,0,570,0,0,0,0,150,0,60,0,510,0,0,0,0
2024,20240101241102,52,6,1,7360,14,2,1,0,0,999,1,1,7,20240127,5140032.144789000,76,1,100,100,999,1,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,75,2,100,100,21,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,120,0,385,0,585,0,0,90,0,240,0,20,0,0,0,0,0,25
2024,20240101241105,53,48,2,0,13,2,1,0,0,999,1,1,5,20240125,9029169.630551000,74,2,201,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,73,1,201,100,31,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,5,0,60,0,35,0,750,5,0,155,0,235,0,195,0,0,5,0,0,35
2024,20240101241122,54,49,2,7160,13,2,1,0,0,999,1,1,1,20240121,3353316.933845000,67,1,100,210,999,1,1,9900,32,214,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,68,2,100,210,21,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,110,0,60,0,530,0,0,40,90,570,0,40,0,0,0,0,0,60
2024,20240101241177,55,1,2,0,12,2,1,0,0,999,1,1,7,20240127,2341719.992339000,85,1,100,100,999,3,1,9900,32,214,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,50,0,100,0,450,0,0,15,0,815,0,10,0,0,0,0,0,100
2024,20240101241178,56,22,4,0,7,1,1,0,0,999,1,1,7,20240127,3535613.983473000,74,2,100,100,999,3,1,9900,14,109,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,18,0,4,0,634,0,0,0,0,784,0,0,0,0,0,0,0,4
2024,20240101241186,57,35,2,200,16,2,1,0,0,999,1,1,1,20240121,2546412.431532000,80,1,100,100,999,1,1,9900,43,321,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,80,2,100,100,41,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,40,0,60,0,450,0,0,5,140,540,0,34,66,0,0,0,0,45
2024,20240101241187,58,6,2,0,8,4,2,0,0,999,1,1,5,20240125,25483813.31818000,58,2,100,100,999,6,1,9900,30,216,1,0,5,123,2025,252,8370,1,40,769.23,1,19.0,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,1,1,1,25,0,0,40,0,270,0,385,0,0,0,0,150,0,90,0,480,25,0,0,210
2024,20240101241197,59,18,4,0,8,2,1,0,0,999,1,1,7,20240127,4481640.157902000,69,2,100,100,999,1,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,71,1,100,100,32,0,3,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,80,0,7,0,580,0,0,135,0,517,0,121,0,0,0,0,0,7
2024,20240101241199,60,1,1,5160,15,2,1,0,0,999,1,1,3,20240130,6365953.428601000,71,2,100,100,999,1,1,9900,40,217,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,75,1,100,100,40,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,180,0,75,0,505,0,650,0,0,0,0,0,0,30,0,0,180,0,0,360
2024,20240101241205,61,55,1,5081,14,2,1,0,0,999,1,1,5,20240125,12090146.83196100,68,2,100,100,999,1,1,9900,40,217,1,0,7,126,2752,260,8564,1,9995,99999.99,99,999.99,1,72,1,100,100,31,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,185,0,100,0,40,0,545,0,0,0,0,335,0,235,0,0,185,0,0,40
2024,20240101241216,62,25,3,1122,15,2,1,0,0,999,1,1,1,20240128,3071591.086318000,66,1,100,100,999,1,1,9900,41,316,1,1,4,123,2006,252,8370,1,43,700.0,1,20.0,1,60,2,100,220,41,1,1,5,99999.98,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,60,35,0,5,0,621,0,0,0,45,140,0,129,0,405,0,0,0,5
2024,20240101241240,63,29,4,0,9,1,1,0,0,999,1,1,1,20240128,3963923.585950000,85,2,100,100,999,3,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,150,0,350,0,630,0,0,0,105,180,0,25,0,0,0,0,0,350
2024,20240101241253,64,24,2,8841,16,3,1,1,2,12,1,1,4,20240124,8100469.478544000,43,2,100,100,999,2,1,9900,40,217,1,0,4,111,630,170,6180,1,40,1826.92,2,999.99,3,999,99,9999,9999,999,99,99,999,99999.99,1,2,1,0,0,0,1,1,225,225,99,0,99,90,0,0,45,0,50,0,595,0,0,0,0,120,0,120,0,420,0,90,90,50
2024,20240101241270,65,41,3,0,4,2,1,0,0,999,1,1,4,20240124,10193419.42012800,72,2,100,100,999,1,1,9900,21,112,5,99,99,9999,99999,9999,99999,99,9999,99999.99,99,999.99,1,77,1,100,100,21,0,4,999,99999.98,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,30,0,75,0,785,0,0,0,255,165,0,100,0,0,0,0,0,75
2024,20240101241272,66,35,4,0,12,3,1,0,0,999,1,1,4,20240131,25172566.98129200,53,1,100,100,999,1,1,9900,31,216,1,0,4,180,7420,194,6690,1,40,1119.5,1,26.0,1,55,2,100,100,41,1,1,40,1826.92,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,76,0,5,0,570,0,0,0,0,240,0,54,0,495,0,0,0,5
